Timestamp,Source,Level,Line
16:53:24.4220,RSSI,Normal,"-64 dBm"
16:53:24.4220,Advertising Interval,Normal,"48.80 ms"
16:53:24.4710,RSSI,Normal,"-55 dBm"
16:53:24.4710,Advertising Interval,Normal,"49.17 ms"
16:53:24.4720,RSSI,Normal,"-55 dBm"
16:53:24.4720,Advertising Interval,Normal,"49.34 ms"
16:53:24.5110,RSSI,Normal,"-65 dBm"
16:53:24.5110,Advertising Interval,Normal,"40.08 ms"
16:53:24.5560,RSSI,Normal,"-65 dBm"
16:53:24.5570,Advertising Interval,Normal,"45.55 ms"
16:53:24.7040,RSSI,Normal,"-56 dBm"
16:53:24.7040,Advertising Interval,Normal,"138.99 ms"
16:53:24.7040,RSSI,Normal,"-56 dBm"
16:53:24.7040,Advertising Interval,Normal,"139.11 ms"
16:53:24.7350,RSSI,Normal,"-67 dBm"
16:53:24.7350,Advertising Interval,Normal,"39.62 ms"
16:53:24.7350,RSSI,Normal,"-67 dBm"
16:53:24.7350,Advertising Interval,Normal,"39.77 ms"
16:53:24.7840,RSSI,Normal,"-67 dBm"
16:53:24.7840,Advertising Interval,Normal,"47.98 ms"
16:53:34.6450,Connected Device,Verbose,"Connecting..."
16:53:34.6450,Connected Device,Normal,"Connected."
16:53:34.6450,Connected Device,Verbose,"Discovering Services..."
16:53:34.6470,Connected Device,Normal,"Discovered 0000FFF0-0000-1000-8000-00805F9B34FB Services."
16:53:34.6470,Connected Device,Verbose,"Discovering Characteristics for 0000FFF0-0000-1000-8000-00805F9B34FB..."
16:53:34.6480,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB..."
16:53:34.6480,Connected Device,Verbose,"Discovering Descriptors for Characteristic 0000FFF2-0000-1000-8000-00805F9B34FB..."
16:53:34.6500,Connected Device,Normal,"Discovered 0000FFF1-0000-1000-8000-00805F9B34FB and 0000FFF2-0000-1000-8000-00805F9B34FB Characteristics for Service 0000FFF0-0000-1000-8000-00805F9B34FB."
16:53:34.6500,Connected Device,Normal,"Discovered Client Characteristic Configuration Descriptors for Characteristic 0000FFF1-0000-1000-8000-00805F9B34FB"
16:53:34.6860,Connected Device,Normal,"0000FFF2-0000-1000-8000-00805F9B34FB has no Descriptors."
16:53:34.7420,Connected Device,Verbose,"Connecting..."
